id,product_id,image_url,status,created_at,updated_at
67,32,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20210804/gv20000208743_1.jpg,,,
68,33,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230201/gv20000481779_1.jpg,,,
69,33,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20241022/gv30001602210_1.jpg,,,
70,34,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240320/gv30000807587_1.jpg,,,
71,34,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240320/gv30000807588_1.jpg,,,
72,35,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20250714/gv00001661345_1.jpg,,,
73,35,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20250304/gv30001643183_1.jpg,,,
74,36,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20250224/gv40001642105_1.jpg,,,
75,36,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20250224/gv30001642106_1.jpg,,,
76,36,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20250224/gv30001642107_1.jpg,,,
77,37,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240826/gv00001550584_1.jpg,,,
78,37,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240826/gv20001550583_1.jpg,,,
79,37,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240826/gv20001550564_1.jpg,,,
80,38,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240227/gv00000803112_1.jpg,,,
81,38,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240227/gv40000803113_1.jpg,,,
82,39,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230622/gv20000702564_1.jpg,,,
83,39,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230608/gv20000702565_1.jpg,,,
84,40,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20241015/gv00001600213_1.png,,,
85,40,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20241015/gv00001600214_1.png,,,
86,40,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20241015/gv10001600215_1.png,,,
